Rk,TklAPlayers90,TklW90,TklADribblers90,TklAttDri90,Tkl%,Bl90,ShBl90,PassBl90,Int90,Clr90,Err90
1,2.12,1.39,1.46,2.48,58.8,0.66,0.36,0.29,0.58,1.97,0.0
2,2.27,1.28,1.13,2.27,50.0,1.84,0.07,1.77,0.14,0.28,0.0
3,1.82,1.82,0.91,0.91,100.0,1.82,0.0,1.82,0.0,0.0,0.0
4,,,,,,,,,,,
5,2.07,1.13,0.84,1.46,57.8,1.65,1.04,0.61,1.26,3.53,0.06
6,1.24,0.83,0.47,1.07,44.4,0.71,0.06,0.65,0.71,1.07,0.0
7,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0
8,2.67,1.64,1.19,3.02,39.6,0.91,0.19,0.72,1.92,1.92,0.09
9,0.78,0.34,0.26,0.69,37.5,0.26,0.0,0.26,0.26,0.43,0.0
10,1.6,1.22,1.09,2.18,50.0,1.47,0.32,1.15,0.96,3.97,0.0
11,1.07,0.95,0.36,1.43,25.0,1.07,0.12,0.95,0.12,0.24,0.0
12,1.36,0.74,0.82,1.36,60.0,1.21,1.01,0.19,0.89,4.47,0.0
13,1.11,0.37,0.0,0.0,,0.37,0.0,0.37,0.0,1.48,0.0
14,0.83,0.49,0.42,0.53,78.6,0.75,0.49,0.26,1.21,2.91,0.04
15,0.0,0.0,0.0,0.0,,30.0,30.0,0.0,0.0,0.0,0.0
16,2.29,1.46,0.62,0.97,64.3,0.83,0.14,0.69,0.28,1.74,0.0
17,0.93,0.47,0.0,0.93,0.0,0.93,0.23,0.7,0.23,0.23,0.0
18,1.43,0.71,0.54,1.25,42.9,0.54,0.0,0.54,0.18,0.18,0.0
19,0.48,0.16,0.12,0.28,42.9,0.36,0.08,0.28,0.2,0.44,0.0
20,3.08,2.31,1.54,2.31,66.7,1.54,0.0,1.54,3.08,1.54,0.0
21,4.17,0.83,0.83,1.67,50.0,0.83,0.0,0.83,0.0,1.67,0.0
22,1.57,1.01,0.67,1.24,54.5,1.8,0.11,1.69,0.56,0.79,0.0
23,1.17,0.61,0.67,1.17,57.1,0.89,0.61,0.28,1.39,4.44,0.0
24,0.25,0.06,0.06,0.76,8.3,0.82,0.13,0.7,0.38,1.58,0.0
25,1.58,1.39,0.79,1.98,40.0,1.09,0.0,1.09,0.3,0.5,0.0
26,1.82,0.81,0.77,1.7,45.2,1.26,0.04,1.21,0.77,0.89,0.0
27,0.94,0.65,0.43,0.51,85.7,1.09,0.58,0.51,1.3,4.64,0.07
28,1.6,0.7,0.7,1.7,41.2,1.0,0.2,0.8,0.6,0.5,0.0
29,2.18,1.09,0.83,2.24,37.1,1.41,0.51,0.9,1.28,0.96,0.06
30,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,10.0,30.0,0.0
31,2.69,2.31,0.77,0.77,100.0,1.92,0.0,1.92,0.77,0.77,0.0
32,1.41,0.81,0.6,1.37,44.1,1.13,0.24,0.89,0.48,0.89,0.0
33,2.26,1.42,1.53,2.22,68.8,1.63,0.87,0.76,1.91,4.03,0.03
34,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
36,2.67,2.09,1.05,1.4,75.0,0.7,0.12,0.58,0.81,0.93,0.0
37,2.51,1.62,1.62,2.29,70.7,1.51,0.39,1.12,0.73,2.29,0.0
38,1.26,0.68,0.78,1.07,72.7,1.6,1.17,0.44,0.83,4.13,0.1
39,2.48,1.45,1.26,2.1,60.0,1.64,0.23,1.4,1.21,2.15,0.0
