,Rk,Player,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,Gls/90,Ast/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,xG,npxG,npxG/Sh,G-xG,np:G-xG,Cmp90,Att90,Cmp%,PassTotDist90,PassPrgDist90,xAG,xA,A-xAG,KP90,Pass1/3(90),PPA90,CrsPA90,PrgP90,Touches90,TakeOnAtt90,TakeOnSucc90,Succ%,Carries90,CarriesTotDist90,CarriesPrgDist90,PrgC90,Caries1/3(90),CPA90,Mis90,Dis90,Rec90,PrgR90,TklAPlayers90,TklW90,TklADribblers90,TklAttDri90,Tkl%,Bl90,ShBl90,PassBl90,Int90,Clr90,Err90
0,1,Max Aarons,ENG,DF,Bournemouth,Premier League,23.0,20,13,1237,13.7,0,1,1,0,0.0,0.07,0.0,0.06,0.06,0.0,0.06,2,0,0.0,0.15,0.0,0.0,,23.9,0.0,0.0,0.02,0.0,0.0,32.85,42.41,77.5,540.29,203.58,0.8,0.9,0.2,0.51,1.82,0.95,0.15,3.14,51.89781021897811,2.4817518248175183,1.0218978102189782,41.2,26.56934306569343,158.68613138686132,81.82481751824818,1.6058394160583942,0.8759124087591241,0.5109489051094891,0.9489051094890512,0.5839416058394161,27.08029197080292,1.8978102189781023,2.12,1.39,1.46,2.48,58.8,0.66,0.36,0.29,0.58,1.97,0.0
1,2,Brenden Aaronson,USA,"MF,FW",Union Berlin,Bundesliga,22.0,30,14,1267,14.1,2,2,4,2,0.14,0.14,0.14,0.13,0.27,0.14,0.27,18,7,38.9,1.28,0.5,0.11,0.29,18.4,2.0,2.0,0.11,0.0,0.0,25.89,33.48,77.3,346.81,106.81,1.9,2.0,0.1,1.56,2.13,0.99,0.21,3.97,47.87234042553192,5.460992907801419,2.4113475177304964,44.2,28.79432624113475,192.97872340425533,98.36879432624114,2.624113475177305,2.0567375886524824,0.6382978723404256,2.9078014184397163,2.695035460992908,32.4113475177305,6.453900709219858,2.27,1.28,1.13,2.27,50.0,1.84,0.07,1.77,0.14,0.28,0.0
4,5,Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,35.0,31,31,2781,30.9,4,0,4,3,0.13,0.0,0.11,0.01,0.12,0.09,0.09,21,7,33.3,0.68,0.23,0.14,0.43,15.0,3.4,2.6,0.13,0.6,0.4,50.23,59.42,84.5,958.51,313.01,0.3,0.6,-0.3,0.26,4.17,0.1,0.0,4.43,70.71197411003237,0.4854368932038835,0.2588996763754045,53.3,48.737864077669904,280.3559870550162,159.25566343042073,1.1650485436893203,0.6148867313915858,0.0,0.7443365695792881,0.1294498381877022,45.40453074433657,0.2912621359223301,2.07,1.13,0.84,1.46,57.8,1.65,1.04,0.61,1.26,3.53,0.06
5,6,Salis Abdul Samed,GHA,MF,Lens,Ligue 1,23.0,27,17,1519,16.9,0,0,0,0,0.0,0.0,0.05,0.03,0.08,0.05,0.08,5,0,0.0,0.3,0.0,0.0,,21.6,0.8,0.8,0.17,-0.8,-0.8,47.1,52.96,88.9,737.87,177.99,0.5,1.1,-0.5,0.36,5.15,0.3,0.12,4.62,60.473372781065095,1.124260355029586,0.4142011834319527,36.8,48.69822485207101,258.0473372781065,99.58579881656806,0.5325443786982249,1.9526627218934915,0.0,1.3609467455621302,0.6508875739644971,46.15384615384616,1.183431952662722,1.24,0.83,0.47,1.07,44.4,0.71,0.06,0.65,0.71,1.07,0.0
7,8,Laurent Abergel,FRA,MF,Lorient,Ligue 1,30.0,33,32,2860,31.8,2,1,3,2,0.06,0.03,0.04,0.07,0.1,0.04,0.1,26,11,42.3,0.82,0.35,0.08,0.18,26.5,1.1,1.1,0.04,0.9,0.9,48.77,57.74,84.5,861.07,270.85,2.2,1.9,-1.2,0.94,5.91,0.72,0.09,6.1,68.0503144654088,2.044025157232704,1.3836477987421385,67.7,51.85534591194968,273.80503144654085,122.38993710691824,1.1949685534591197,1.540880503144654,0.0943396226415094,1.0062893081761006,0.9433962264150944,47.23270440251572,1.6037735849056602,2.67,1.64,1.19,3.02,39.6,0.91,0.19,0.72,1.92,1.92,0.09
8,9,Matthis Abline,FRA,FW,Nantes,Ligue 1,20.0,22,12,1044,11.6,5,0,5,5,0.43,0.0,0.33,0.17,0.5,0.33,0.5,42,19,45.2,3.62,1.64,0.12,0.26,17.4,3.8,3.8,0.09,1.2,1.2,13.97,19.91,70.1,207.76,38.62,2.0,0.9,-2.0,1.47,0.52,0.6,0.17,1.72,33.27586206896552,2.844827586206897,1.637931034482759,57.6,25.344827586206897,170.60344827586206,78.10344827586208,2.413793103448276,2.0689655172413794,1.206896551724138,4.310344827586207,1.206896551724138,24.74137931034483,7.5,0.78,0.34,0.26,0.69,37.5,0.26,0.0,0.26,0.26,0.43,0.0
9,10,Abner,BRA,DF,Betis,La Liga,23.0,23,15,1400,15.6,0,1,1,0,0.0,0.06,0.01,0.06,0.07,0.01,0.07,4,0,0.0,0.26,0.0,0.0,,15.4,0.1,0.1,0.03,-0.1,-0.1,39.42,51.09,77.2,590.45,291.79,1.0,1.0,0.0,0.51,1.28,0.45,0.13,2.12,61.92307692307693,0.8333333333333334,0.4487179487179487,53.8,28.653846153846157,115.51282051282053,60.833333333333336,0.8974358974358975,0.6410256410256411,0.3205128205128205,1.153846153846154,0.7051282051282052,32.17948717948718,3.717948717948718,1.6,1.22,1.09,2.18,50.0,1.47,0.32,1.15,0.96,3.97,0.0
10,11,Zakaria Aboukhlal,MAR,"MF,FW",Toulouse,Ligue 1,23.0,13,9,754,8.4,3,0,3,2,0.36,0.0,0.33,0.02,0.36,0.24,0.26,27,7,25.9,3.22,0.84,0.07,0.29,18.7,2.8,2.0,0.07,0.2,0.0,16.67,23.33,71.4,241.07,71.31,0.2,1.1,-0.2,0.6,1.19,1.07,0.12,2.38,36.30952380952381,3.6904761904761902,0.9523809523809524,25.8,27.73809523809524,196.54761904761904,88.69047619047619,2.738095238095238,1.5476190476190474,0.9523809523809524,2.619047619047619,1.4285714285714286,27.26190476190476,8.928571428571429,1.07,0.95,0.36,1.43,25.0,1.07,0.12,0.95,0.12,0.24,0.0
11,12,Abdel Abqar,MAR,DF,Alavés,La Liga,24.0,27,27,2312,25.7,0,0,0,0,0.0,0.0,0.02,0.01,0.02,0.02,0.02,10,3,30.0,0.39,0.12,0.0,0.0,12.1,0.5,0.5,0.05,-0.5,-0.5,21.52,29.65,72.6,481.32,189.57,0.2,0.2,-0.2,0.12,2.37,0.08,0.0,1.91,40.1556420233463,0.1945525291828793,0.1167315175097276,60.0,19.14396887159533,95.71984435797664,55.175097276264594,0.2723735408560311,0.2334630350194552,0.0,0.5836575875486382,0.0389105058365758,19.416342412451364,0.0389105058365758,1.36,0.74,0.82,1.36,60.0,1.21,1.01,0.19,0.89,4.47,0.0
13,14,Francesco Acerbi,ITA,DF,Inter,Serie A,35.0,29,26,2388,26.5,3,1,4,3,0.11,0.04,0.06,0.07,0.13,0.06,0.13,15,6,40.0,0.57,0.23,0.2,0.5,12.0,1.6,1.6,0.11,1.4,1.4,60.94,67.21,90.7,1106.64,346.19,1.8,1.3,-0.8,0.26,2.19,0.19,0.08,3.28,74.60377358490567,0.1132075471698113,0.0754716981132075,66.7,45.698113207547166,218.0754716981132,116.26415094339625,0.7924528301886793,0.4150943396226415,0.0,0.1509433962264151,0.0377358490566037,54.56603773584906,0.9056603773584906,0.83,0.49,0.42,0.53,78.6,0.75,0.49,0.26,1.21,2.91,0.04
