,Player,Market Value
0,William Saliba,€80.00m
1,Rúben Dias,€80.00m
2,Josko Gvardiol,€75.00m
3,Ronald Araujo,€70.00m
4,Gabriel Magalhães,€70.00m
5,Alessandro Bastoni,€70.00m
6,Trent Alexander-Arnold,€70.00m
7,Matthijs de Ligt,€65.00m
8,Bremer,€60.00m
9,Éder Militão,€60.00m
10,Achraf Hakimi,€60.00m
11,Cristian Romero,€60.00m
12,Theo Hernández,€60.00m
13,Nuno Mendes,€55.00m
14,Micky van de Ven,€55.00m
15,Ben White,€55.00m
16,Leny Yoro,€50.00m
17,Levi Colwill,€50.00m
18,Alphonso Davies,€50.00m
19,Benjamin Pavard,€50.00m
20,Federico Dimarco,€50.00m
21,Marquinhos,€50.00m
22,Joshua Kimmich,€50.00m
23,António Silva,€45.00m
24,Giorgio Scalvini,€45.00m
25,Edmond Tapsoba,€45.00m
26,Destiny Udogie,€45.00m
27,Pedro Porro,€45.00m
28,Gonçalo Inácio,€45.00m
29,Min-jae Kim,€45.00m
30,Lisandro Martínez,€45.00m
31,Jules Koundé,€45.00m
32,Pau Torres,€45.00m
33,Sven Botman,€45.00m
34,Ibrahima Konaté,€45.00m
35,Dayot Upamecano,€45.00m
36,Manuel Akanji,€45.00m
37,Alejandro Grimaldo,€45.00m
38,Jarrad Branthwaite,€42.00m
39,Ousmane Diomande,€40.00m
40,Piero Hincapié,€40.00m
41,Alejandro Balde,€40.00m
42,Castello Lukeba,€40.00m
43,Ian Maatsen,€40.00m
44,Reece James,€40.00m
45,Nico Schlotterbeck,€40.00m
46,Axel Disasi,€40.00m
47,Robin Le Normand,€40.00m
48,Fikayo Tomori,€40.00m
49,Lucas Hernández,€40.00m
50,Andreas Christensen,€40.00m
51,Nathan Aké,€40.00m
52,Rico Lewis,€38.00m
53,Jurrien Timber,€38.00m
54,Marc Guéhi,€38.00m
55,Oleksandr Zinchenko,€38.00m
56,John Stones,€38.00m
57,Murillo,€35.00m
58,Mohamed Simakan,€35.00m
59,Willian Pacho,€35.00m
60,Odilon Kossounou,€35.00m
61,Malo Gusto,€35.00m
62,Jean-Clair Todibo,€35.00m
63,Rayan Aït-Nouri,€35.00m
64,Tino Livramento,€35.00m
65,Ezri Konsa,€35.00m
66,Dávid Hancko,€35.00m
67,Alessandro Buongiorno,€35.00m
68,Nayef Aguerd,€35.00m
69,Diogo Dalot,€35.00m
70,Takehiro Tomiyasu,€35.00m
71,Joachim Andersen,€35.00m
72,Ilya Zabarnyi,€32.00m
73,Max Kilman,€32.00m
74,Lutsharel Geertruida,€32.00m
75,Luke Shaw,€32.00m
76,Pau Cubarsí,€30.00m
77,Jorrel Hato,€30.00m
78,Lucas Beraldo,€30.00m
79,Cristhian Mosquera,€30.00m
80,Riccardo Calafiori,€30.00m
81,Benoît Badiashile,€30.00m
