Rk,Cmp90,Att90,Cmp%,PassTotDist90,PassPrgDist90,xAG,xA,A-xAG,KP90,Pass1/3(90),PPA90,CrsPA90,PrgP90
1,32.85,42.41,77.5,540.29,203.58,0.8,0.9,0.2,0.51,1.82,0.95,0.15,3.14
2,25.89,33.48,77.3,346.81,106.81,1.9,2.0,0.1,1.56,2.13,0.99,0.21,3.97
3,37.27,45.45,82.0,523.64,64.55,0.1,0.1,0.9,0.91,3.64,1.82,0.0,4.55
4,inf,inf,100.0,inf,,0.0,0.0,0.0,,,,,
5,50.23,59.42,84.5,958.51,313.01,0.3,0.6,-0.3,0.26,4.17,0.1,0.0,4.43
6,47.1,52.96,88.9,737.87,177.99,0.5,1.1,-0.5,0.36,5.15,0.3,0.12,4.62
7,30.0,39.5,75.9,579.5,213.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.5
8,48.77,57.74,84.5,861.07,270.85,2.2,1.9,-1.2,0.94,5.91,0.72,0.09,6.1
9,13.97,19.91,70.1,207.76,38.62,2.0,0.9,-2.0,1.47,0.52,0.6,0.17,1.72
10,39.42,51.09,77.2,590.45,291.79,1.0,1.0,0.0,0.51,1.28,0.45,0.13,2.12
11,16.67,23.33,71.4,241.07,71.31,0.2,1.1,-0.2,0.6,1.19,1.07,0.12,2.38
12,21.52,29.65,72.6,481.32,189.57,0.2,0.2,-0.2,0.12,2.37,0.08,0.0,1.91
13,7.04,14.81,47.5,85.56,27.78,0.1,0.0,-0.1,1.11,0.37,0.37,0.0,1.48
14,60.94,67.21,90.7,1106.64,346.19,1.8,1.3,-0.8,0.26,2.19,0.19,0.08,3.28
15,10.0,20.0,50.0,180.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,43.61,58.82,74.1,842.08,342.22,1.5,2.1,0.5,1.6,3.61,1.32,0.83,4.1
17,12.79,16.51,77.5,180.23,43.02,0.5,0.5,-0.5,0.93,0.47,1.63,0.23,2.09
18,17.68,26.43,66.9,270.18,80.0,0.9,1.3,0.1,1.43,1.61,0.71,0.36,2.68
19,10.0,15.4,64.9,147.04,31.44,1.9,1.4,-0.9,0.68,0.56,0.16,0.08,0.68
20,45.38,54.62,83.1,748.46,201.54,0.1,0.0,-0.1,0.77,6.92,0.0,0.0,3.85
21,15.0,25.0,60.0,150.83,30.0,0.1,0.0,-0.1,0.83,0.0,0.83,0.0,0.83
22,14.83,21.24,69.8,211.57,54.27,2.0,1.1,0.0,1.35,1.8,0.34,0.0,2.02
23,57.11,67.56,84.5,1167.22,442.0,0.1,0.3,-0.1,0.11,2.61,0.11,0.0,3.44
24,9.11,12.91,70.6,116.9,24.37,0.7,0.4,-0.7,0.89,0.57,0.25,0.0,1.46
25,21.58,29.6,72.9,290.0,71.19,2.0,1.6,-1.0,0.89,0.89,0.99,0.1,2.57
26,25.67,34.01,75.5,357.41,69.35,3.7,3.5,-2.7,1.34,0.69,1.34,0.45,2.02
27,41.88,48.48,86.4,770.65,296.88,0.1,0.5,-0.1,0.22,2.75,0.07,0.0,2.46
28,36.7,45.9,80.0,468.3,111.0,2.3,2.9,3.7,2.1,1.9,1.8,0.3,3.9
29,72.12,83.33,86.5,1291.15,432.82,2.2,2.0,-0.2,1.41,9.55,1.03,0.38,8.01
30,50.0,50.0,100.0,750.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,44.23,50.0,88.5,673.08,145.38,0.1,0.3,-0.1,1.15,4.23,1.54,0.0,5.77
32,55.24,60.6,91.2,868.35,233.79,1.5,1.0,-0.5,0.69,4.72,0.36,0.04,5.04
33,55.52,63.82,87.0,1137.99,381.39,1.5,1.6,-0.5,0.42,5.97,0.17,0.03,6.22
34,25.77,38.46,67.0,733.08,633.85,0.0,0.0,0.0,0.0,0.77,0.0,0.0,0.0
35,50.0,50.0,100.0,750.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,35.0,41.86,83.6,614.53,165.58,0.6,0.3,-0.6,1.05,4.19,0.58,0.12,4.07
37,27.26,37.37,72.9,427.77,163.18,0.6,1.4,-0.6,0.39,1.01,0.89,0.39,1.79
38,45.78,57.14,80.1,964.56,427.38,0.3,0.4,-0.3,0.19,3.59,0.1,0.0,3.3
39,48.79,59.91,81.4,718.83,279.77,2.9,4.0,0.1,1.21,3.41,1.96,0.65,5.14
40,40.0,80.0,50.0,480.0,230.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
41,38.46,47.95,80.2,629.49,161.03,0.0,0.1,0.0,0.26,3.08,0.0,0.0,6.41
42,25.34,33.61,75.4,431.33,171.33,0.8,0.6,-0.8,0.24,1.39,0.1,0.03,1.46
43,32.22,41.11,78.4,648.44,263.78,0.1,0.0,-0.1,0.22,1.78,0.22,0.0,2.67
44,32.07,42.66,75.2,511.17,213.4,0.9,1.0,0.1,0.59,3.09,0.69,0.32,3.62
45,38.8,45.95,84.5,538.46,151.93,2.4,1.7,-1.4,0.97,2.32,0.5,0.15,3.82
46,15.4,20.3,75.9,237.7,48.6,0.3,0.3,-0.3,0.7,0.7,0.2,0.0,1.6
47,29.9,39.71,75.3,500.49,185.59,2.3,2.7,-1.3,0.59,2.75,0.49,0.15,2.99
48,21.06,30.0,70.2,301.06,31.72,1.0,1.6,-1.0,1.06,1.39,0.2,0.0,1.39
49,78.14,83.66,93.4,1279.14,350.79,0.5,1.8,-0.5,0.47,7.67,0.54,0.07,5.3
50,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,75.59,82.11,92.1,1153.7,384.01,1.2,1.1,0.8,0.44,6.52,0.22,0.04,5.11
52,22.14,28.63,77.3,304.11,78.45,2.6,2.5,-0.6,1.25,1.19,1.43,0.36,2.68
53,33.33,43.06,77.4,549.68,169.35,2.2,2.1,-2.2,0.91,1.61,0.75,0.65,1.51
54,30.44,38.46,79.1,474.51,137.69,0.4,0.4,-0.4,0.66,1.65,0.44,0.22,2.2
55,35.0,40.0,87.5,415.0,225.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,10.0
56,36.03,46.54,77.4,509.39,159.72,3.5,3.4,0.5,2.12,3.58,2.12,0.17,5.2
57,53.33,56.67,94.1,933.33,216.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33
58,46.47,54.41,85.4,800.88,210.88,0.0,0.1,0.0,0.0,4.71,0.0,0.0,3.82
59,28.21,33.72,83.7,456.03,105.9,0.1,0.2,-0.1,0.13,1.79,0.0,0.0,1.28
60,13.33,15.0,88.9,141.67,33.33,0.0,0.4,0.0,0.0,0.0,1.67,0.0,1.67
61,50.08,58.28,85.9,867.54,317.95,0.3,0.4,-0.3,0.41,5.82,0.16,0.0,4.51
62,63.28,70.62,89.6,1013.83,390.39,0.7,0.8,0.3,0.78,4.38,0.39,0.0,3.98
63,50.7,65.33,77.6,796.07,255.56,4.7,4.8,2.3,2.49,6.69,1.87,0.16,8.25
64,48.45,56.28,86.1,998.63,375.97,0.8,0.6,0.2,0.13,2.83,0.04,0.0,2.74
65,70.0,100.0,70.0,1300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,34.05,39.29,86.7,612.62,179.52,0.1,0.4,0.9,0.48,4.76,0.95,0.0,6.43
67,36.52,45.46,80.3,678.39,191.55,1.4,1.6,-0.4,0.66,4.34,0.46,0.09,4.43
68,27.79,43.28,64.2,678.85,299.96,1.0,0.8,0.0,0.53,4.02,0.57,0.04,4.02
69,13.03,25.59,50.9,225.59,91.01,1.3,2.8,0.7,0.85,0.9,1.33,1.17,1.65
70,27.26,35.04,77.8,470.35,101.42,1.6,1.0,-0.6,1.59,2.74,0.27,0.18,2.04
71,64.98,86.28,75.3,1271.38,520.25,7.2,6.1,-3.2,2.68,8.45,2.38,0.75,8.58
72,15.71,24.29,64.7,205.0,36.43,0.1,0.1,0.9,0.71,2.86,0.71,0.0,2.14
73,13.57,23.57,57.6,179.29,44.29,0.1,0.3,-0.1,0.36,0.36,0.0,0.0,1.07
74,20.1,27.92,72.0,313.96,76.15,2.0,1.4,0.0,1.46,1.04,1.15,0.21,2.6
75,13.8,21.48,64.3,226.13,58.52,0.6,0.7,-0.6,0.99,0.99,0.49,0.21,2.32
76,20.36,31.96,63.7,344.29,130.71,2.2,2.5,-1.2,2.14,3.12,1.34,0.27,3.84
77,35.18,40.79,86.3,765.29,469.54,0.0,0.0,0.0,0.04,0.29,0.0,0.0,0.18
78,16.22,26.49,61.2,243.24,83.51,0.4,0.2,-0.4,0.54,1.35,0.54,0.27,1.89
79,28.45,35.89,79.3,401.64,106.04,1.2,1.4,-0.2,0.97,1.74,0.97,0.39,2.51
80,29.44,37.29,78.9,439.35,117.48,1.2,0.9,-0.2,1.21,2.71,0.93,0.0,4.67
81,31.07,37.26,83.4,419.67,85.86,2.6,2.4,-1.6,1.12,1.77,0.98,0.14,3.63
82,15.0,20.43,73.4,200.38,45.77,2.7,1.8,-1.7,1.15,0.6,0.51,0.17,1.37
83,64.29,76.43,84.1,960.71,286.79,0.5,0.3,-0.5,1.79,3.57,1.07,0.36,5.0
