Rk,Player,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,Gls/90,Ast/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
1,Max Aarons,ENG,DF,Bournemouth,Premier League,23,20,13,1237,13.7,0,1,1,0,0.00,0.07,0.00,0.06,0.06,0.00,0.06
2,Brenden Aaronson,USA,"MF,FW",Union Berlin,Bundesliga,22,30,14,1267,14.1,2,2,4,2,0.14,0.14,0.14,0.13,0.27,0.14,0.27
3,Paxten Aaronson,USA,MF,Eint Frankfurt,Bundesliga,19,7,1,101,1.1,0,1,1,0,0.00,0.89,0.11,0.07,0.19,0.11,0.19
4,Keyliane Abdallah,FRA,FW,Marseille,Ligue 1,17,1,0,4,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,35,31,31,2781,30.9,4,0,4,3,0.13,0.00,0.11,0.01,0.12,0.09,0.09
6,Salis Abdul Samed,GHA,MF,Lens,Ligue 1,23,27,17,1519,16.9,0,0,0,0,0.00,0.00,0.05,0.03,0.08,0.05,0.08
7,Nabil Aberdin,FRA,DF,Getafe,La Liga,20,2,2,180,2.0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,Laurent Abergel,FRA,MF,Lorient,Ligue 1,30,33,32,2860,31.8,2,1,3,2,0.06,0.03,0.04,0.07,0.10,0.04,0.10
9,Matthis Abline,FRA,FW,Nantes,Ligue 1,20,22,12,1044,11.6,5,0,5,5,0.43,0.00,0.33,0.17,0.50,0.33,0.50
10,Abner,BRA,DF,Betis,La Liga,23,23,15,1400,15.6,0,1,1,0,0.00,0.06,0.01,0.06,0.07,0.01,0.07
11,Zakaria Aboukhlal,MAR,"MF,FW",Toulouse,Ligue 1,23,13,9,754,8.4,3,0,3,2,0.36,0.00,0.33,0.02,0.36,0.24,0.26
12,Abdel Abqar,MAR,DF,Alavés,La Liga,24,27,27,2312,25.7,0,0,0,0,0.00,0.00,0.02,0.01,0.02,0.02,0.02
13,Tammy Abraham,ENG,FW,Roma,Serie A,25,8,2,242,2.7,1,0,1,1,0.37,0.00,0.22,0.05,0.27,0.22,0.27
