,Player,Market Value,Pos,Squad,Comp,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,Gls/90,Ast/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,xG,npxG,npxG/Sh,G-xG,np:G-xG,Cmp90,Att90,Cmp%,xAG,xA,A-xAG,KP90,Pass1/3(90),PPA90,PrgP90,Touches90,TakeOnAtt90,TakeOnSucc90,Carries90,CarriesTotDist90,CarriesPrgDist90,PrgC90,Caries1/3(90),CPA90,Mis90,Dis90,Rec90,PrgR90,TklAPlayers90,TklW90,TklADribblers90,TklAttDri90,Tkl%,Bl90,ShBl90,Int90,Clr90,Err90
55,Cristian Romero,60.0,0,1.0,1,25.0,33,33,2790,31.0,5,0,5,5,0.16,0.0,0.11,0.01,0.13,0.11,0.13,24,9,37.5,0.77,0.29,0.21,3.5,3.5,0.14,1.5,1.5,77.1,84.06,91.7,0.4,1.5,-0.4,0.23,6.1,0.45,5.77,94.29,0.26,0.16,63.13,301.9,194.39,1.03,1.35,0.0,0.39,0.13,66.81,0.26,2.13,1.29,1.03,1.42,72.7,1.48,0.71,1.42,3.42,0.03
56,Anthony Gordon,60.0,3,3.0,1,22.0,35,34,2890,32.1,11,10,21,10,0.34,0.31,0.32,0.25,0.57,0.29,0.54,80,29,36.3,2.49,0.9,0.13,10.2,9.4,0.12,0.8,0.6,25.02,32.87,76.1,8.0,5.6,2.0,1.78,1.68,1.21,3.15,44.36,4.14,1.68,29.75,237.45,114.27,4.3,2.27,1.84,2.18,1.25,31.96,7.23,1.71,1.06,0.69,1.99,34.4,0.84,0.0,0.22,0.22,0.0
57,Theo Hernández,60.0,0,2.0,3,25.0,32,31,2791,31.0,5,4,9,4,0.16,0.13,0.16,0.14,0.3,0.11,0.25,55,16,29.1,1.77,0.52,0.07,4.9,3.4,0.06,0.1,0.6,55.39,64.32,86.1,4.3,4.6,-0.3,1.42,3.32,1.29,5.35,73.23,2.61,1.19,47.32,301.68,196.61,3.71,3.0,0.42,0.97,0.71,51.68,4.0,0.97,0.55,0.35,0.71,50.0,1.06,0.42,0.74,1.35,0.03
58,Achraf Hakimi,60.0,0,1.0,4,24.0,25,20,1932,21.5,4,5,9,4,0.19,0.23,0.2,0.24,0.44,0.2,0.44,42,12,28.6,1.96,0.56,0.1,4.2,4.2,0.1,-0.2,-0.2,79.63,92.05,86.5,5.2,4.2,-0.2,2.0,7.12,2.09,10.14,103.12,2.65,1.26,81.95,428.6,229.86,3.91,3.63,1.02,1.53,1.53,78.09,10.7,1.35,0.88,0.79,1.58,50.0,1.3,0.19,0.56,1.3,0.09
59,Ousmane Dembélé,60.0,8,1.0,4,26.0,26,17,1506,16.7,3,8,11,3,0.18,0.48,0.26,0.4,0.67,0.26,0.67,43,14,32.6,2.57,0.84,0.07,4.4,4.4,0.1,-1.4,-1.4,47.43,62.51,75.9,6.7,5.8,1.3,3.53,5.03,3.11,7.96,75.21,8.32,3.89,64.01,486.23,264.25,9.58,6.29,3.17,2.22,1.44,62.57,14.79,1.14,0.84,0.36,0.78,46.2,0.66,0.0,0.3,0.24,0.06
60,Loïs Openda,60.0,3,2.0,2,23.0,34,33,2697,30.0,24,7,31,22,0.8,0.23,0.74,0.19,0.93,0.66,0.85,118,59,50.0,3.94,1.97,0.19,22.1,19.7,0.17,1.9,2.3,11.6,17.47,66.4,5.8,4.6,1.2,1.17,0.7,0.7,1.5,28.67,2.17,0.67,18.17,97.43,49.1,2.57,1.0,1.27,2.4,1.27,21.43,7.53,0.1,0.1,0.0,0.2,0.0,0.63,0.1,0.17,0.47,0.0
61,Nico Williams,60.0,3,3.0,3,21.0,31,29,2263,25.1,5,11,16,5,0.2,0.44,0.24,0.22,0.46,0.24,0.46,56,19,33.9,2.23,0.76,0.09,6.0,6.0,0.11,-1.0,-1.0,23.07,32.99,69.9,5.7,7.5,5.3,1.87,1.04,1.91,2.63,47.93,7.69,3.43,31.87,257.65,148.84,5.7,3.07,2.47,3.03,2.03,33.82,12.03,1.24,0.48,0.52,1.43,36.1,0.72,0.08,0.12,0.16,0.04
62,Jack Grealish,60.0,5,1.0,1,27.0,20,10,1009,11.2,3,1,4,3,0.27,0.09,0.19,0.22,0.41,0.19,0.41,22,5,22.7,1.96,0.45,0.14,2.1,2.1,0.09,0.9,0.9,44.55,51.79,86.0,2.5,2.8,-1.5,2.32,1.34,2.23,4.46,62.23,3.66,1.61,46.61,359.38,185.71,7.77,4.11,4.46,1.7,1.96,51.61,13.04,1.16,0.71,0.54,1.07,50.0,1.16,0.18,0.54,0.45,0.0
63,Marcus Rashford,60.0,3,3.0,1,25.0,33,26,2271,25.2,7,2,9,5,0.28,0.08,0.29,0.09,0.38,0.23,0.32,60,19,31.7,2.38,0.75,0.08,7.4,5.8,0.1,-0.4,-0.8,22.18,29.44,75.3,2.3,2.8,-0.3,0.91,1.35,1.19,2.58,40.63,4.33,1.9,27.34,197.62,94.76,3.77,2.02,2.54,2.34,1.51,31.67,7.3,0.75,0.48,0.36,1.03,34.6,0.6,0.04,0.16,0.83,0.0
64,Warren Zaïre-Emery,60.0,7,1.0,4,17.0,26,21,1962,21.8,2,3,5,2,0.09,0.14,0.06,0.14,0.21,0.06,0.21,14,4,28.6,0.64,0.18,0.14,1.4,1.4,0.1,0.6,0.6,60.14,65.5,91.8,3.2,3.3,-0.2,0.96,5.55,0.96,5.32,75.32,1.79,0.73,61.1,322.75,142.11,2.48,2.8,0.55,1.38,1.56,59.4,4.13,2.34,1.28,1.28,2.34,54.9,1.47,0.37,0.69,1.01,0.09
65,João Palhinha,55.0,6,3.0,1,28.0,33,31,2699,30.0,4,1,5,4,0.13,0.03,0.11,0.03,0.14,0.11,0.14,45,14,31.1,1.5,0.47,0.09,3.3,3.3,0.07,0.7,0.7,36.6,44.43,82.4,0.8,1.0,0.2,0.43,3.2,0.23,3.23,58.67,0.73,0.37,26.73,94.53,35.13,0.27,0.4,0.0,0.97,0.87,33.83,0.47,5.07,2.5,3.43,5.07,67.8,1.9,0.3,1.53,1.93,0.0
