,Player,Market Value,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,Gls/90,Ast/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,xG,npxG,npxG/Sh,G-xG,np:G-xG,Cmp90,Att90,Cmp%,PassTotDist90,PassPrgDist90,xAG,xA,A-xAG,KP90,Pass1/3(90),PPA90,CrsPA90,PrgP90,Touches90,TakeOnAtt90,TakeOnSucc90,Succ%,Carries90,CarriesTotDist90,CarriesPrgDist90,PrgC90,Caries1/3(90),CPA90,Mis90,Dis90,Rec90,PrgR90,TklAPlayers90,TklW90,TklADribblers90,TklAttDri90,Tkl%,Bl90,ShBl90,PassBl90,Int90,Clr90,Err90
592,Kylian Mbappé,180.0,FRA,FW,Paris S-G,Ligue 1,24.0,29,24,2158,24.0,27,7,34,21,1.13,0.29,0.87,0.24,1.11,0.6,0.84,112,50,44.6,4.67,2.09,0.19,0.42,18.3,21.0,14.5,0.13,6.0,6.5,33.38,40.21,83.0,502.54,99.62,5.7,5.2,1.3,1.67,3.04,1.83,0.04,5.08,52.66666666666666,5.541666666666667,2.5416666666666665,45.9,47.833333333333336,281.2083333333333,133.875,4.75,2.875,2.75,2.333333333333333,1.4583333333333333,47.083333333333336,11.916666666666666,0.17,0.04,0.17,0.38,44.4,0.17,0.0,0.17,0.08,0.08,0.0
591,Erling Haaland,180.0,NOR,FW,Manchester City,Premier League,23.0,31,29,2552,28.4,27,5,32,20,0.95,0.18,1.03,0.15,1.18,0.81,0.96,113,50,44.2,3.99,1.76,0.18,0.4,11.9,29.2,22.9,0.2,-2.2,-2.9,10.39,13.66,76.0,113.87,19.96,4.3,2.2,0.7,1.02,0.56,0.39,0.0,0.92,22.3943661971831,1.0563380281690142,0.4225352112676057,40.0,12.570422535211268,57.32394366197183,25.633802816901408,1.2323943661971832,0.4577464788732394,0.7746478873239437,1.443661971830986,0.6690140845070423,17.21830985915493,4.436619718309859,0.21,0.11,0.07,0.11,66.7,0.39,0.04,0.35,0.07,0.56,0.0
315,Jude Bellingham,180.0,ENG,MF,Real Madrid,La Liga,20.0,28,27,2315,25.7,19,6,25,18,0.74,0.23,0.43,0.21,0.64,0.4,0.61,62,34,54.8,2.41,1.32,0.29,0.53,14.8,11.1,10.3,0.17,7.9,7.7,53.04,60.04,88.3,763.0,156.61,5.3,4.3,0.7,1.87,5.33,1.75,0.12,7.63,73.81322957198444,3.77431906614786,1.9455252918287933,51.5,48.054474708171206,265.05836575875486,133.61867704280155,3.3073929961089497,2.840466926070039,1.0116731517509727,2.0622568093385216,1.556420233463035,60.46692607003891,6.88715953307393,1.63,1.32,0.47,1.4,33.3,2.14,0.19,1.95,0.82,0.66,0.0
593,Phil Foden,150.0,ENG,"FW,MF",Manchester City,Premier League,23.0,35,33,2857,31.7,19,8,27,19,0.6,0.25,0.33,0.26,0.59,0.33,0.59,105,48,45.7,3.31,1.51,0.18,0.4,18.5,10.3,10.3,0.1,8.7,8.7,47.67,55.74,85.5,641.86,118.9,8.4,6.9,-0.4,2.3,2.24,1.8,0.16,5.3,67.69716088328076,3.217665615141956,1.4826498422712937,46.1,45.26813880126184,218.3280757097792,108.32807570977918,2.9337539432176656,2.4921135646687698,1.7665615141955835,1.9558359621451105,1.5457413249211356,55.29968454258675,8.485804416403786,0.98,0.63,0.41,0.98,41.9,0.95,0.0,0.95,0.41,0.57,0.03
594,Bukayo Saka,140.0,ENG,FW,Arsenal,Premier League,21.0,35,35,2919,32.4,16,9,25,10,0.49,0.28,0.48,0.32,0.8,0.33,0.65,102,31,30.4,3.14,0.96,0.1,0.32,16.3,15.5,10.8,0.11,0.5,-0.8,35.28,46.67,75.6,521.33,135.86,10.5,11.0,-1.5,2.81,1.2,2.25,0.37,3.89,60.24691358024692,3.765432098765432,1.5123456790123455,40.2,37.74691358024692,221.6049382716049,115.06172839506172,4.783950617283951,2.098765432098765,2.2222222222222223,1.7283950617283952,1.6358024691358026,42.99382716049383,15.679012345679013,2.04,1.08,0.8,1.82,44.1,1.33,0.06,1.27,0.46,0.74,0.03
316,Florian Wirtz,130.0,GER,MF,Leverkusen,Bundesliga,20.0,32,26,2372,26.4,11,11,22,10,0.42,0.42,0.34,0.29,0.62,0.31,0.6,70,33,47.1,2.66,1.25,0.14,0.3,18.1,8.9,8.2,0.12,2.1,1.8,58.33,70.27,83.0,769.09,212.92,7.5,9.7,3.5,2.77,3.6,3.11,0.27,8.48,85.30303030303031,6.136363636363637,2.9924242424242427,48.8,52.42424242424243,299.0909090909091,157.27272727272728,5.227272727272728,4.090909090909091,1.7045454545454546,3.143939393939394,2.9924242424242427,68.75,11.590909090909092,1.02,0.68,0.34,1.1,31.0,1.36,0.08,1.29,0.34,0.11,0.0
317,Jamal Musiala,120.0,GER,"MF,FW",Bayern Munich,Bundesliga,20.0,24,20,1755,19.5,10,5,15,10,0.51,0.26,0.4,0.31,0.71,0.4,0.71,58,21,36.2,2.97,1.08,0.17,0.48,15.8,7.9,7.9,0.14,2.1,2.1,31.85,39.59,80.4,426.92,100.36,6.0,5.8,-1.0,2.15,2.15,2.1,0.0,5.13,55.8974358974359,7.897435897435898,4.461538461538462,56.5,37.74358974358975,255.48717948717947,144.87179487179486,5.282051282051282,3.076923076923077,1.6923076923076923,3.3846153846153846,2.6153846153846154,44.30769230769231,8.35897435897436,2.05,1.28,0.72,1.85,38.9,1.28,0.05,1.23,0.82,0.26,0.0
318,Federico Valverde,120.0,URU,MF,Real Madrid,La Liga,25.0,37,33,2904,32.3,2,7,9,2,0.06,0.22,0.11,0.18,0.29,0.11,0.29,56,18,32.1,1.74,0.56,0.04,0.11,23.0,3.5,3.5,0.06,-1.5,-1.5,58.85,65.54,89.8,899.35,240.87,5.8,3.4,1.2,1.52,7.09,1.27,0.12,7.15,75.78947368421053,1.3622291021671828,0.6811145510835914,50.0,49.845201238390096,285.6656346749226,155.63467492260062,3.2198142414860684,3.1578947368421058,0.4643962848297214,0.86687306501548,0.3715170278637771,59.59752321981425,3.1578947368421058,1.46,1.05,0.74,1.3,57.1,1.21,0.06,1.15,1.33,1.24,0.0
319,Declan Rice,120.0,ENG,MF,Arsenal,Premier League,24.0,38,37,3225,35.8,7,8,15,7,0.2,0.22,0.09,0.15,0.24,0.09,0.24,58,20,34.5,1.62,0.56,0.12,0.35,20.4,3.3,3.3,0.06,3.7,3.7,57.01,64.11,88.9,956.48,261.96,5.3,4.8,2.7,1.31,6.7,1.09,0.06,7.77,74.02234636871509,1.2849162011173183,0.5865921787709497,45.7,46.78770949720671,284.7486033519553,143.54748603351956,2.094972067039106,1.9553072625698324,0.446927374301676,0.8659217877094972,0.6145251396648045,53.85474860335196,1.787709497206704,2.32,1.42,0.89,1.59,56.1,1.03,0.31,0.73,1.23,1.45,0.0
321,Rodri,120.0,ESP,"FW,MF",Betis,La Liga,23.0,29,9,1051,11.7,0,0,0,0,0.0,0.0,0.09,0.1,0.19,0.09,0.19,18,5,27.8,1.54,0.43,0.0,0.0,18.6,1.1,1.1,0.06,-1.1,-1.1,38.38,48.72,78.8,571.11,160.85,1.2,2.2,-1.2,1.28,3.08,2.74,0.51,5.56,60.76923076923077,4.871794871794872,2.0512820512820515,42.1,42.3931623931624,278.03418803418805,137.35042735042737,4.188034188034188,2.5641025641025643,1.1965811965811963,2.393162393162393,1.5384615384615383,48.20512820512821,9.914529914529917,1.45,0.85,0.68,1.79,38.1,0.94,0.0,0.94,0.68,0.17,0.0
