Rk,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,xG,npxG,npxG/Sh,G-xG,np:G-xG
1,2,0,0.0,0.15,0.00,0.00,,23.9,0.0,0.0,0.02,0.0,0.0
2,18,7,38.9,1.28,0.50,0.11,0.29,18.4,2.0,2.0,0.11,0.0,0.0
3,2,2,100.0,1.78,1.78,0.00,0.00,15.1,0.1,0.1,0.06,-0.1,-0.1
4,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
5,21,7,33.3,0.68,0.23,0.14,0.43,15.0,3.4,2.6,0.13,+0.6,+0.4
6,5,0,0.0,0.30,0.00,0.00,,21.6,0.8,0.8,0.17,-0.8,-0.8
7,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
8,26,11,42.3,0.82,0.35,0.08,0.18,26.5,1.1,1.1,0.04,+0.9,+0.9
9,42,19,45.2,3.62,1.64,0.12,0.26,17.4,3.8,3.8,0.09,+1.2,+1.2
10,4,0,0.0,0.26,0.00,0.00,,15.4,0.1,0.1,0.03,-0.1,-0.1
11,27,7,25.9,3.22,0.84,0.07,0.29,18.7,2.8,2.0,0.07,+0.2,0.0
12,10,3,30.0,0.39,0.12,0.00,0.00,12.1,0.5,0.5,0.05,-0.5,-0.5
13,4,2,50.0,1.49,0.74,0.25,0.50,11.9,0.6,0.6,0.15,+0.4,+0.4
14,15,6,40.0,0.57,0.23,0.20,0.50,12.0,1.6,1.6,0.11,+1.4,+1.4
15,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
16,9,4,44.4,0.63,0.28,0.11,0.25,27.9,0.3,0.3,0.03,+0.7,+0.7
17,1,1,100.0,0.23,0.23,0.00,0.00,15.3,0.3,0.3,0.27,-0.3,-0.3
18,7,4,57.1,1.25,0.71,0.00,0.00,18.7,0.7,0.7,0.10,-0.7,-0.7
19,79,32,40.5,3.16,1.28,0.10,0.25,14.5,12.4,12.4,0.16,-4.4,-4.4
20,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
21,2,1,50.0,1.71,0.86,0.00,0.00,12.1,0.1,0.1,0.03,-0.1,-0.1
22,31,13,41.9,3.48,1.46,0.03,0.08,12.4,4.1,4.1,0.13,-3.1,-3.1
23,14,5,35.7,0.78,0.28,0.14,0.40,14.2,0.7,0.7,0.05,+1.3,+1.3
24,31,14,45.2,1.97,0.89,0.32,0.71,9.6,5.9,5.9,0.19,+4.1,+4.1
25,23,10,43.5,2.27,0.99,0.13,0.30,14.6,3.5,3.5,0.15,-0.5,-0.5
26,52,22,42.3,2.11,0.89,0.12,0.27,15.9,4.3,4.3,0.08,+1.7,+1.7
27,4,0,0.0,0.29,0.00,0.00,,8.3,0.4,0.4,0.09,-0.4,-0.4
28,27,15,55.6,2.71,1.50,0.15,0.27,13.7,3.3,3.3,0.12,+0.7,+0.7
29,4,1,25.0,0.26,0.06,0.25,1.00,19.8,0.3,0.3,0.07,+0.7,+0.7
30,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
31,5,0,0.0,1.89,0.00,0.00,,17.9,0.2,0.2,0.05,-0.2,-0.2
32,18,5,27.8,0.73,0.20,0.00,0.00,22.4,1.1,1.1,0.06,-1.1,-1.1
33,32,5,15.6,1.11,0.17,0.03,0.20,15.1,2.4,2.4,0.07,-1.4,-1.4
34,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
35,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
36,6,2,33.3,0.69,0.23,0.00,0.00,13.2,0.9,0.9,0.14,-0.9,-0.9
37,11,0,0.0,0.61,0.00,0.00,,19.5,0.9,0.9,0.08,-0.9,-0.9
38,14,3,21.4,0.68,0.15,0.07,0.33,10.8,1.5,1.5,0.11,-0.5,-0.5
39,12,4,33.3,0.56,0.19,0.08,0.25,16.1,1.4,1.4,0.12,-0.4,-0.4
40,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
41,9,2,22.2,2.32,0.52,0.00,0.00,20.4,0.5,0.5,0.05,-0.5,-0.5
42,19,5,26.3,0.65,0.17,0.11,0.40,11.9,3.1,3.1,0.17,-1.1,-1.1
43,3,0,0.0,0.66,0.00,0.00,,15.8,0.1,0.1,0.03,-0.1,-0.1
44,11,1,9.1,0.59,0.05,0.09,1.00,26.6,0.3,0.3,0.02,+0.7,+0.7
45,24,8,33.3,0.93,0.31,0.08,0.25,16.8,3.3,3.3,0.14,-1.3,-1.3
46,11,3,27.3,1.10,0.30,0.18,0.67,22.7,1.8,1.8,0.17,+0.2,+0.2
47,12,4,33.3,0.59,0.20,0.17,0.50,9.9,1.3,1.3,0.11,+0.7,+0.7
48,27,6,22.2,1.79,0.40,0.07,0.33,13.1,5.3,3.7,0.14,-3.3,-1.7
49,15,5,33.3,0.54,0.18,0.13,0.40,17.0,1.9,1.9,0.13,+0.1,+0.1
50,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
51,20,5,25.0,0.88,0.22,0.10,0.40,10.8,2.5,2.5,0.12,-0.5,-0.5
52,30,7,23.3,1.79,0.42,0.07,0.29,18.1,3.2,3.2,0.11,-1.2,-1.2
53,9,5,55.6,0.48,0.27,0.22,0.40,17.4,1.2,1.2,0.13,+0.8,+0.8
54,11,2,18.2,1.21,0.22,0.18,1.00,18.3,1.4,1.4,0.13,+0.6,+0.6
55,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
56,36,22,61.1,2.01,1.23,0.19,0.32,15.7,5.4,5.4,0.15,+1.6,+1.6
57,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
58,2,0,0.0,0.59,0.00,0.00,,15.7,0.1,0.1,0.03,-0.1,-0.1
59,7,3,42.9,0.89,0.38,0.00,0.00,26.6,0.5,0.5,0.08,-0.5,-0.5
60,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
61,2,0,0.0,0.16,0.00,0.00,,6.8,0.3,0.3,0.15,-0.3,-0.3
62,14,3,21.4,1.09,0.23,0.00,0.00,19.8,1.0,1.0,0.07,-1.0,-1.0
63,56,15,26.8,2.18,0.58,0.09,0.33,22.0,4.7,4.7,0.08,+0.3,+0.3
64,6,1,16.7,0.27,0.04,0.00,0.00,9.5,0.4,0.4,0.07,-0.4,-0.4
65,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
66,11,2,18.2,2.61,0.47,0.00,0.00,24.0,0.4,0.4,0.03,-0.4,-0.4
67,46,10,21.7,1.32,0.29,0.02,0.10,24.9,3.3,1.7,0.04,-0.3,-0.7
68,24,5,20.8,0.98,0.21,0.00,0.00,19.7,1.2,1.2,0.05,-1.2,-1.2
69,11,2,18.2,0.59,0.11,0.00,0.00,21.9,0.5,0.5,0.04,-0.5,-0.5
70,16,5,31.3,1.41,0.44,0.06,0.20,18.8,1.2,1.2,0.08,-0.2,-0.2
71,47,8,17.0,1.96,0.33,0.06,0.38,24.4,2.6,2.3,0.05,+0.4,+0.7
72,4,2,50.0,2.77,1.38,0.00,0.00,19.4,0.2,0.2,0.06,-0.2,-0.2
73,3,0,0.0,1.08,0.00,0.00,,17.4,0.4,0.4,0.13,-0.4,-0.4
74,18,6,33.3,1.88,0.63,0.06,0.17,21.1,1.1,1.1,0.06,-0.1,-0.1
75,33,11,33.3,2.32,0.77,0.12,0.36,14.5,3.0,3.0,0.09,+1.0,+1.0
76,28,9,32.1,2.50,0.80,0.14,0.44,19.0,2.4,2.4,0.09,+1.6,+1.6
77,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
78,8,2,25.0,2.14,0.54,0.13,0.50,17.4,1.2,1.2,0.16,-0.2,-0.2
79,37,11,29.7,1.79,0.53,0.05,0.18,14.8,2.6,2.6,0.07,-0.6,-0.6
80,10,4,40.0,0.93,0.37,0.20,0.50,19.3,0.6,0.6,0.06,+1.4,+1.4
81,41,12,29.3,1.91,0.56,0.07,0.25,16.1,4.5,4.5,0.11,-1.5,-1.5
82,40,15,37.5,1.71,0.64,0.05,0.13,19.7,2.3,2.3,0.06,-0.3,-0.3
83,3,2,66.7,1.07,0.71,0.00,0.00,20.8,0.1,0.1,0.03,-0.1,-0.1
84,1,0,0.0,0.12,0.00,0.00,,27.2,0.0,0.0,0.03,0.0,0.0
85,7,2,28.6,1.11,0.32,0.14,0.50,22.3,0.2,0.2,0.03,+0.8,+0.8
86,17,3,17.6,0.64,0.11,0.06,0.33,21.1,1.3,1.3,0.08,-0.3,-0.3
87,14,3,21.4,0.50,0.11,0.14,0.67,16.5,0.7,0.7,0.05,+1.3,+1.3
88,12,4,33.3,1.42,0.47,0.08,0.25,13.9,1.0,1.0,0.09,0.0,0.0
89,96,37,38.5,3.26,1.26,0.09,0.24,17.8,13.0,11.5,0.12,-2.0,-2.5
90,7,2,28.6,0.55,0.16,0.00,0.00,14.2,0.3,0.3,0.04,-0.3,-0.3
91,9,3,33.3,1.90,0.63,0.11,0.33,22.9,0.4,0.4,0.05,+0.6,+0.6
92,5,3,60.0,3.66,2.20,0.20,0.33,15.1,0.3,0.3,0.07,+0.7,+0.7
93,13,5,38.5,1.32,0.51,0.15,0.40,14.7,2.6,2.6,0.20,-0.6,-0.6
94,11,4,36.4,1.64,0.60,0.00,0.00,21.9,0.4,0.4,0.04,-0.4,-0.4
95,12,2,16.7,2.74,0.46,0.00,0.00,14.1,1.6,1.6,0.13,-1.6,-1.6
96,1,0,0.0,4.09,0.00,0.00,,29.5,0.0,0.0,0.01,0.0,0.0
97,1,1,100.0,0.99,0.99,1.00,1.00,26.9,0.1,0.1,0.10,+0.9,+0.9
98,48,21,43.8,2.21,0.97,0.08,0.19,17.8,5.8,5.0,0.10,-0.8,-1.0
99,1,0,0.0,0.11,0.00,0.00,,22.8,0.1,0.1,0.05,-0.1,-0.1
100,5,3,60.0,0.78,0.47,0.00,0.00,9.3,0.3,0.3,0.06,-0.3,-0.3
101,6,4,66.7,0.54,0.36,0.50,0.75,16.8,0.8,0.8,0.14,+2.2,+2.2
102,35,8,22.9,2.40,0.55,0.03,0.13,26.8,2.2,1.4,0.04,-1.2,-0.4
103,3,2,66.7,3.14,2.09,0.00,0.00,21.7,0.1,0.1,0.04,-0.1,-0.1
104,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
105,3,0,0.0,0.29,0.00,0.00,,26.1,0.1,0.1,0.02,-0.1,-0.1
106,21,8,38.1,0.55,0.21,0.10,0.25,12.8,1.7,1.7,0.08,+0.3,+0.3
